shipment_id,expected_eta_hours,actual_hours,sla_utilization,breach_probability,risk_level
SHIP-2026-00001,91,963.02,10.583,0.942,CRITICAL
SHIP-2026-00002,105,48.08,0.458,0.088,LOW
SHIP-2026-00003,49,350.62,7.156,0.748,HIGH
SHIP-2026-00004,96,222.8,2.321,0.941,CRITICAL
SHIP-2026-00005,56,1225.77,21.889,0.809,CRITICAL
SHIP-2026-00006,68,870.75,12.805,0.873,CRITICAL
SHIP-2026-00007,25,584.48,23.379,0.823,CRITICAL
SHIP-2026-00008,72,1077.68,14.968,0.798,CRITICAL
SHIP-2026-00009,95,428.73,4.513,0.739,HIGH
SHIP-2026-00010,18,608.07,33.782,0.782,CRITICAL
SHIP-2026-00011,34,1364.48,40.132,0.78,CRITICAL
SHIP-2026-00012,35,340.53,9.729,0.752,CRITICAL
SHIP-2026-00013,59,914.4,15.498,0.76,CRITICAL
SHIP-2026-00014,73,1196.35,16.388,0.853,CRITICAL
SHIP-2026-00015,102,771.92,7.568,0.917,CRITICAL
SHIP-2026-00016,60,832.97,13.883,0.845,CRITICAL
SHIP-2026-00017,78,361.25,4.631,0.936,CRITICAL
SHIP-2026-00018,24,213.5,8.896,0.775,CRITICAL
SHIP-2026-00019,32,621.68,19.427,0.804,CRITICAL
SHIP-2026-00020,58,106.02,1.828,0.935,CRITICAL
SHIP-2026-00021,45,338.95,7.532,0.975,CRITICAL
SHIP-2026-00022,60,820.77,13.679,0.852,CRITICAL
SHIP-2026-00023,27,291.1,10.781,0.919,CRITICAL
SHIP-2026-00024,45,84.77,1.884,0.764,CRITICAL
SHIP-2026-00025,59,205.18,3.478,0.91,CRITICAL
SHIP-2026-00026,53,1001.88,18.903,0.802,CRITICAL
SHIP-2026-00027,117,726.92,6.213,0.904,CRITICAL
SHIP-2026-00028,58,445.73,7.685,0.8,CRITICAL
SHIP-2026-00029,51,313.62,6.149,0.75,CRITICAL
SHIP-2026-00030,56,784.17,14.003,0.99,CRITICAL
SHIP-2026-00031,82,603.93,7.365,0.932,CRITICAL
SHIP-2026-00032,65,1424.22,21.911,0.763,CRITICAL
SHIP-2026-00033,88,706.98,8.034,0.841,CRITICAL
SHIP-2026-00034,32,203.93,6.373,0.968,CRITICAL
SHIP-2026-00035,27,1025.32,37.975,0.99,CRITICAL
SHIP-2026-00036,58,1145.15,19.744,0.749,HIGH
SHIP-2026-00037,99,385.08,3.89,0.835,CRITICAL
SHIP-2026-00038,57,968.17,16.985,0.863,CRITICAL
SHIP-2026-00039,33,1462.95,44.332,0.901,CRITICAL
SHIP-2026-00040,31,57.38,1.851,0.946,CRITICAL
SHIP-2026-00041,18,1011.37,56.187,0.863,CRITICAL
SHIP-2026-00042,45,1229.93,27.332,0.825,CRITICAL
SHIP-2026-00043,32,262.1,8.191,0.764,CRITICAL
SHIP-2026-00044,42,537.87,12.806,0.942,CRITICAL
SHIP-2026-00045,74,410.82,5.552,0.856,CRITICAL
SHIP-2026-00046,21,1352.18,64.39,0.811,CRITICAL
SHIP-2026-00047,100,928.12,9.281,0.99,CRITICAL
SHIP-2026-00048,52,565.07,10.867,0.793,CRITICAL
SHIP-2026-00049,65,492.73,7.58,0.725,HIGH
SHIP-2026-00050,42,617.88,14.711,0.772,CRITICAL
SHIP-2026-00051,74,693.22,9.368,0.758,CRITICAL
SHIP-2026-00052,117,127.72,1.092,0.948,CRITICAL
SHIP-2026-00053,45,739.9,16.442,0.872,CRITICAL
SHIP-2026-00054,28,364.68,13.024,0.908,CRITICAL
SHIP-2026-00055,48,1246.55,25.97,0.906,CRITICAL
SHIP-2026-00056,75,1024.58,13.661,0.871,CRITICAL
